PERSON_ID,COMPANY_NAME,COMPANY_LI_NAME,LAST_TITLE,GROUP_START_DATE,GROUP_END_DATE
9fb750ce-4acd-40d6-a58b-f6718342364f,GoCardless,gocardless,Software Engineer,2019-01-01,2020-01-01
9fb750ce-4acd-40d6-a58b-f6718342364f,Stealth startup,online-shoe-store,Founder / CTO,2018-01-01,2019-01-01
9fb750ce-4acd-40d6-a58b-f6718342364f,Arkera,arkera,Software Engineer,2017-01-01,2018-01-01
9fb750ce-4acd-40d6-a58b-f6718342364f,Imperial College London,imperial-college-london,UTA (Undergraduate Teaching Assistant),2016-01-01,2017-01-01
15f5d8ed-36ad-4cf7-8748-c50dc9589f59,Splunk,splunk,Software Engineer,2019-10-01,
15f5d8ed-36ad-4cf7-8748-c50dc9589f59,Earnest Inc.,earnest-llc,Software Engineer,2018-08-01,2019-10-01
15f5d8ed-36ad-4cf7-8748-c50dc9589f59,SSL (Space Systems Loral),sslmda,Software Engineer,2015-07-01,2018-08-01
15f5d8ed-36ad-4cf7-8748-c50dc9589f59,Dev Bootcamp,dev-bootcamp,Web Development Student,2014-12-01,2015-04-01
15f5d8ed-36ad-4cf7-8748-c50dc9589f59,University of Southern California,university-of-southern-california,Research Assistant,2008-08-01,2012-12-01
89e252a0-273d-4cca-a868-873628e84818,Compasso UOL,compass-uol,Co-Founder & CEO,1995-01-01,
56f14616-dc8f-4a46-8a11-9adc98cecdaa,Great.com,great-com,Founder,2018-01-01,
56f14616-dc8f-4a46-8a11-9adc98cecdaa,Catena Media,catenamedia,Chief Strategy Officer,2010-10-01,2017-12-01
0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Affirm,affirm,Senior Software Engineer,2021-03-01,
0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Netskope,netskope,Senior Software Engineer,2019-02-01,2021-03-01
0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Albertsons Companies,albertsons,Software Engineer,2017-06-01,2019-02-01
0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,JCHIP,n/a,Youth Leader Intern,2016-06-01,2016-08-01
0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,DECAL Lab,n/a,Undergraduate Research Assistant,2016-04-01,2016-06-01
0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Computer Lab Management,computer-lab-management,Hardware Support Trainee,2015-09-01,2017-06-01
8dae1b28-b504-4400-9c18-7da5610f91ee,Uber,uber-com,Program Manager,2018-02-01,
8dae1b28-b504-4400-9c18-7da5610f91ee,AGL,n/a,Values and Customer Champion,2013-08-01,2018-02-01
8dae1b28-b504-4400-9c18-7da5610f91ee,AGL Energy,agl,Performance Analyst,2011-08-01,2018-02-01
b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,First Round Capital,first-round-capital,Angel Track,2019-04-01,2019-07-01
b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,Cash App,cash-app,"Head of Marketing & Brand - Cash App (Block, Inc.)",2017-03-01,
b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,Square,joinsquare,Cash App Brand + Communications,2011-10-01,2017-03-01
b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,Google,google,Slide Team,2010-10-01,2011-10-01
87f00953-a04d-4b6c-91a4-d2192b369709,Lumen Technologies,lumentechnologies,Senior Lead Engineer,2013-07-01,
87f00953-a04d-4b6c-91a4-d2192b369709,Sirius Computer Solutions,sirius-computer-solutions,Sr. Networking Solutions Engineer,2009-07-01,2013-07-01
87f00953-a04d-4b6c-91a4-d2192b369709,Sprint,sprint,Senior Network Design Engineer,2002-03-01,2009-03-01
87f00953-a04d-4b6c-91a4-d2192b369709,SprintParanet,n/a,Technical Solution Consultant,1999-01-01,2002-01-01
12f92340-301c-4880-b576-5003241adda0,SpaceX,spacex,Ground Software Engineer,2018-07-01,
12f92340-301c-4880-b576-5003241adda0,National Instruments,niglobal,Engineering Leadership Program Intern,2017-05-01,2017-08-01
12f92340-301c-4880-b576-5003241adda0,Kansas State University,kansas-state-university,Undergraduate Researcher,2017-02-01,2018-05-01
12f92340-301c-4880-b576-5003241adda0,Cerner Corporation,cerner-corporation,Software Engineer Intern,2016-05-01,2016-07-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Shaw Communications,shaw-communications,Principal Program Manager,2017-02-01,2017-12-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Shaw Communications,shaw-communications,Sr. Management Consultant/Project Manager,2015-10-01,2016-11-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Zamplo,zamplo,Co-Founder,2015-09-01,
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Cenovus Energy,cenovus-energy,Management Consultant,2012-03-01,2015-03-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Talisman Energy,talisman-energy,Project Manager,2011-03-01,2012-02-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Project Champions,n/a,Associate Partner,2011-01-01,2015-10-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Mark's Work Wearhouse,markscanada,Project Manager,2010-01-01,2010-11-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Veris,n/a,Project Manager,2008-11-01,2010-11-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,ENMAX,enmax,Program and Project  Manager,2008-11-01,2009-12-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Vancouver Coastal Health,vancouver-coastal-health,Consultant,2006-07-01,2008-07-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,World Wildlife Fund,world-wildlife-fund,IT Development Officer,2002-09-01,2002-12-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Accenture,accenture,Manager,1998-11-01,2006-06-01
c6b08e85-9a86-41b0-98b0-3d3b22ca2542,Luffahrtstudio,n/a,Flight Test Engineer,1997-05-01,1997-08-01
18be23f5-4b31-4aed-aae3-c6fdb0a2580a,OAKOS Automotive,n/a,Customer Service Manager @ OAKOS Automotive,2007-03-01,
18be23f5-4b31-4aed-aae3-c6fdb0a2580a,Sequoia,sequoia,Senior Helpdesk Agent,2000-03-01,2002-03-01
18be23f5-4b31-4aed-aae3-c6fdb0a2580a,HelpKey,n/a,IT Consultant,1999-01-01,2002-01-01
e0a3281f-ce45-4669-9117-526d20ddf866,Noon Allure,n/a,Founder,2021-01-01,
e0a3281f-ce45-4669-9117-526d20ddf866,Hart Howerton,hart-howerton,Designer,2018-06-01,2020-08-01
e0a3281f-ce45-4669-9117-526d20ddf866,Sleeperbot (Blitz Studios),sleeperhq,Marketing Intern,2017-06-01,2017-08-01
d9fbdc13-78e1-457e-8380-c001aba73a59,Netflix,netflix,Costume Design Assistant,2022-02-01,
d9fbdc13-78e1-457e-8380-c001aba73a59,Henry Wilkinson Vintage,n/a,Business Owner,2021-12-01,
d9fbdc13-78e1-457e-8380-c001aba73a59,Self-employed,n/a,Freelance Fashion Historian,2019-07-01,
d9fbdc13-78e1-457e-8380-c001aba73a59,Netflix,netflix,Costume Trainee,2019-05-01,2019-09-01
d9fbdc13-78e1-457e-8380-c001aba73a59,GIVENCHY,givenchy,GIVENCHY ARCHIVES,2019-02-01,2019-04-01
d9fbdc13-78e1-457e-8380-c001aba73a59,Shakespeare's Rose Theatre,n/a,Dresser,2018-06-01,2018-09-01
d9fbdc13-78e1-457e-8380-c001aba73a59,The Royal Central School of Speech and Drama,central-school-of-speech-and-drama,Dresser - 'Her Naked Skin',2017-10-01,2017-12-01
d9fbdc13-78e1-457e-8380-c001aba73a59,The Royal Central School of Speech and Drama,central-school-of-speech-and-drama,Dresser - 'Empress',2017-06-01,2017-06-01
d9fbdc13-78e1-457e-8380-c001aba73a59,Kerry Taylor Auctions Ltd,kerry-taylor-auctions-ltd,Intern,2017-03-01,2018-10-01
d9fbdc13-78e1-457e-8380-c001aba73a59,Dominion Theatre,nederlander-dominion-ltd,Work Experience - An American in Paris,2017-02-01,2017-03-01
d9fbdc13-78e1-457e-8380-c001aba73a59,Angels Costumes,angels-the-costumiers,Work Experience,2016-05-01,2016-06-01
d9fbdc13-78e1-457e-8380-c001aba73a59,English National Opera,english-national-opera,Wardrobe Assistant - 'Norma',2016-02-01,2016-02-01
d9fbdc13-78e1-457e-8380-c001aba73a59,Grand Opera House York,grand-opera-house-york,Costume Designer - 'Ghost: The Musical',2015-12-01,2016-02-01
9dc67d8d-486f-4e78-81f0-52a2ef1f23f3,Standard Chartered Bank,standardchartered,Senior Manager - Skype for Business Engineering,2018-05-01,
9dc67d8d-486f-4e78-81f0-52a2ef1f23f3,HCL Technologies,hcl-technologies,Associate Consultant - Skype for Business,2016-05-01,2018-05-01
9dc67d8d-486f-4e78-81f0-52a2ef1f23f3,Microsoft,microsoft,Support Engineer - Skype for Business,2013-11-01,2016-05-01
9dc67d8d-486f-4e78-81f0-52a2ef1f23f3,Cognizant,cognizant,Administrator - NSS,2007-11-01,2013-10-01
c80ad2cd-c9fc-4727-a83e-2820607de73e,Stanford University,stanford-university,PhD Candidate,2017-09-01,
